experiment,dataset,row,metric,value
lora-realworld-train,private,samples avg,precision,0.0
lora-realworld-train,private,samples avg,recall,0.0
lora-realworld-train,private,samples avg,f1-score,0.0
lora-realworld-train,private,samples avg,support,67.0
lora-realworld-train,private,samples avg,rocauc,
zero-shot-direct-dev,private,AcceptableRVMarine,precision,0.6363636363636364
zero-shot-direct-dev,private,AcceptableRVMarine,recall,0.7
zero-shot-direct-dev,private,AcceptableRVMarine,f1-score,0.6666666666666666
zero-shot-direct-dev,private,AcceptableRVMarine,support,10.0
zero-shot-direct-dev,private,AcceptableRVMarine,rocauc,0.6944444444444444
zero-shot-direct-dev,private,AcceptableAeronautical,precision,0.3333333333333333
zero-shot-direct-dev,private,AcceptableAeronautical,recall,0.3333333333333333
zero-shot-direct-dev,private,AcceptableAeronautical,f1-score,0.3333333333333333
zero-shot-direct-dev,private,AcceptableAeronautical,support,3.0
zero-shot-direct-dev,private,AcceptableAeronautical,rocauc,0.5520833333333334
zero-shot-direct-dev,private,AcceptableFarming,precision,0.0625
zero-shot-direct-dev,private,AcceptableFarming,recall,1.0
zero-shot-direct-dev,private,AcceptableFarming,f1-score,0.1176470588235294
zero-shot-direct-dev,private,AcceptableFarming,support,1.0
zero-shot-direct-dev,private,AcceptableFarming,rocauc,0.5833333333333333
zero-shot-direct-dev,private,micro avg,precision,0.3
zero-shot-direct-dev,private,micro avg,recall,0.6428571428571429
zero-shot-direct-dev,private,micro avg,f1-score,0.4090909090909091
zero-shot-direct-dev,private,micro avg,support,14.0
zero-shot-direct-dev,private,micro avg,rocauc,0.5705980066445183
zero-shot-direct-dev,private,macro avg,precision,0.3440656565656566
zero-shot-direct-dev,private,macro avg,recall,0.6777777777777777
zero-shot-direct-dev,private,macro avg,f1-score,0.3725490196078431
zero-shot-direct-dev,private,macro avg,support,14.0
zero-shot-direct-dev,private,macro avg,rocauc,0.6099537037037036
zero-shot-direct-dev,private,weighted avg,precision,0.5304383116883117
zero-shot-direct-dev,private,weighted avg,recall,0.6428571428571429
zero-shot-direct-dev,private,weighted avg,f1-score,0.5560224089635853
zero-shot-direct-dev,private,weighted avg,support,14.0
zero-shot-direct-dev,private,weighted avg,rocauc,0.6560019841269842
zero-shot-direct-dev,private,samples avg,precision,0.2105263157894737
zero-shot-direct-dev,private,samples avg,recall,0.3508771929824561
zero-shot-direct-dev,private,samples avg,f1-score,0.2508771929824561
zero-shot-direct-dev,private,samples avg,support,14.0
zero-shot-direct-dev,private,samples avg,rocauc,
lora-realworld-dev,private,AcceptableRVMarine,precision,0.0
lora-realworld-dev,private,AcceptableRVMarine,recall,0.0
lora-realworld-dev,private,AcceptableRVMarine,f1-score,0.0
lora-realworld-dev,private,AcceptableRVMarine,support,10.0
lora-realworld-dev,private,AcceptableRVMarine,rocauc,0.5
lora-realworld-dev,private,AcceptableAeronautical,precision,0.0
lora-realworld-dev,private,AcceptableAeronautical,recall,0.0
lora-realworld-dev,private,AcceptableAeronautical,f1-score,0.0
lora-realworld-dev,private,AcceptableAeronautical,support,3.0
lora-realworld-dev,private,AcceptableAeronautical,rocauc,0.5
lora-realworld-dev,private,AcceptableFarming,precision,0.0
lora-realworld-dev,private,AcceptableFarming,recall,0.0
lora-realworld-dev,private,AcceptableFarming,f1-score,0.0
lora-realworld-dev,private,AcceptableFarming,support,1.0
lora-realworld-dev,private,AcceptableFarming,rocauc,0.5
lora-realworld-dev,private,micro avg,precision,0.0
lora-realworld-dev,private,micro avg,recall,0.0
lora-realworld-dev,private,micro avg,f1-score,0.0
lora-realworld-dev,private,micro avg,support,14.0
lora-realworld-dev,private,micro avg,rocauc,0.5
lora-realworld-dev,private,macro avg,precision,0.0
lora-realworld-dev,private,macro avg,recall,0.0
lora-realworld-dev,private,macro avg,f1-score,0.0
lora-realworld-dev,private,macro avg,support,14.0
lora-realworld-dev,private,macro avg,rocauc,0.5
lora-realworld-dev,private,weighted avg,precision,0.0
lora-realworld-dev,private,weighted avg,recall,0.0
lora-realworld-dev,private,weighted avg,f1-score,0.0
lora-realworld-dev,private,weighted avg,support,14.0
lora-realworld-dev,private,weighted avg,rocauc,0.5
lora-realworld-dev,private,samples avg,precision,0.0
lora-realworld-dev,private,samples avg,recall,0.0
lora-realworld-dev,private,samples avg,f1-score,0.0
lora-realworld-dev,private,samples avg,support,14.0
lora-realworld-dev,private,samples avg,rocauc,
zero-shot-direct-web,web,AcceptableRVMarine,precision,0.8181818181818182
zero-shot-direct-web,web,AcceptableRVMarine,recall,0.5142857142857142
zero-shot-direct-web,web,AcceptableRVMarine,f1-score,0.631578947368421
zero-shot-direct-web,web,AcceptableRVMarine,support,35.0
zero-shot-direct-web,web,AcceptableRVMarine,rocauc,0.7341614906832299
zero-shot-direct-web,web,AcceptableAeronautical,precision,1.0
zero-shot-direct-web,web,AcceptableAeronautical,recall,0.375
zero-shot-direct-web,web,AcceptableAeronautical,f1-score,0.5454545454545454
zero-shot-direct-web,web,AcceptableAeronautical,support,16.0
zero-shot-direct-web,web,AcceptableAeronautical,rocauc,0.6875
zero-shot-direct-web,web,AcceptableFarming,precision,0.8235294117647058
zero-shot-direct-web,web,AcceptableFarming,recall,0.6829268292682927
zero-shot-direct-web,web,AcceptableFarming,f1-score,0.7466666666666667
zero-shot-direct-web,web,AcceptableFarming,support,41.0
zero-shot-direct-web,web,AcceptableFarming,rocauc,0.6843615494978479
zero-shot-direct-web,web,micro avg,precision,0.8387096774193549
zero-shot-direct-web,web,micro avg,recall,0.5652173913043478
zero-shot-direct-web,web,micro avg,f1-score,0.6753246753246753
zero-shot-direct-web,web,micro avg,support,92.0
zero-shot-direct-web,web,micro avg,rocauc,0.7546394485683987
zero-shot-direct-web,web,macro avg,precision,0.8805704099821746
zero-shot-direct-web,web,macro avg,recall,0.5240708478513357
zero-shot-direct-web,web,macro avg,f1-score,0.6412333864965444
zero-shot-direct-web,web,macro avg,support,92.0
zero-shot-direct-web,web,macro avg,rocauc,0.7020076800603592
zero-shot-direct-web,web,weighted avg,precision,0.8521855382469193
zero-shot-direct-web,web,weighted avg,recall,0.5652173913043478
zero-shot-direct-web,web,weighted avg,f1-score,0.6678898828097912
zero-shot-direct-web,web,weighted avg,support,92.0
zero-shot-direct-web,web,weighted avg,rocauc,0.7038529967752697
zero-shot-direct-web,web,samples avg,precision,0.4741379310344828
zero-shot-direct-web,web,samples avg,recall,0.3591954022988506
zero-shot-direct-web,web,samples avg,f1-score,0.3954022988505748
zero-shot-direct-web,web,samples avg,support,92.0
zero-shot-direct-web,web,samples avg,rocauc,
lora-realworld-web,web,AcceptableRVMarine,precision,0.0
lora-realworld-web,web,AcceptableRVMarine,recall,0.0
lora-realworld-web,web,AcceptableRVMarine,f1-score,0.0
lora-realworld-web,web,AcceptableRVMarine,support,35.0
lora-realworld-web,web,AcceptableRVMarine,rocauc,0.5
lora-realworld-web,web,AcceptableAeronautical,precision,0.0
lora-realworld-web,web,AcceptableAeronautical,recall,0.0
lora-realworld-web,web,AcceptableAeronautical,f1-score,0.0
lora-realworld-web,web,AcceptableAeronautical,support,16.0
lora-realworld-web,web,AcceptableAeronautical,rocauc,0.5
lora-realworld-web,web,AcceptableFarming,precision,0.0
lora-realworld-web,web,AcceptableFarming,recall,0.0
lora-realworld-web,web,AcceptableFarming,f1-score,0.0
lora-realworld-web,web,AcceptableFarming,support,41.0
lora-realworld-web,web,AcceptableFarming,rocauc,0.5
lora-realworld-web,web,micro avg,precision,0.0
lora-realworld-web,web,micro avg,recall,0.0
lora-realworld-web,web,micro avg,f1-score,0.0
lora-realworld-web,web,micro avg,support,92.0
lora-realworld-web,web,micro avg,rocauc,0.5
lora-realworld-web,web,macro avg,precision,0.0
lora-realworld-web,web,macro avg,recall,0.0
lora-realworld-web,web,macro avg,f1-score,0.0
lora-realworld-web,web,macro avg,support,92.0
lora-realworld-web,web,macro avg,rocauc,0.5
lora-realworld-web,web,weighted avg,precision,0.0
lora-realworld-web,web,weighted avg,recall,0.0
lora-realworld-web,web,weighted avg,f1-score,0.0
lora-realworld-web,web,weighted avg,support,92.0
lora-realworld-web,web,weighted avg,rocauc,0.5
lora-realworld-web,web,samples avg,precision,0.0
lora-realworld-web,web,samples avg,recall,0.0
lora-realworld-web,web,samples avg,f1-score,0.0
lora-realworld-web,web,samples avg,support,92.0
lora-realworld-web,web,samples avg,rocauc,
